"posteromedial visual area, layer 6b",1
"Bed nuclei of the stria terminalis, posterior division, strial extension",1
Induseum griseum,4
"Pontine reticular nucleus, caudal part",211
"Nodulus (X), molecular layer",38
"Primary somatosensory area, unassigned, layer 1",16
Reticular nucleus of the thalamus,99
"Primary somatosensory area, unassigned, layer 5",41
"Posterior auditory area, layer 6a",1
"Simple lobule, granular layer",155
Edinger-Westphal nucleus,2
Fastigial nucleus,26
"Gustatory areas, layer 6b",8
"Gustatory areas, layer 6a",45
"Olfactory tubercle, molecular layer",93
"Primary somatosensory area, lower limb, layer 6a",52
"Primary somatosensory area, lower limb, layer 6b",14
Major island of Calleja,2
"Central amygdalar nucleus, medial part",48
"Lateral visual area, layer 1",6
"Lateral visual area, layer 5",11
"Lateral visual area, layer 4",4
"Inferior colliculus, dorsal nucleus",80
"Anterior hypothalamic nucleus, central part",22
"Piriform area, polymorph layer",285
"Nucleus of the lateral lemniscus, dorsal part",13
"Medial geniculate complex, ventral part",30
"Entorhinal area, medial part, dorsal zone, layer 6",25
"Entorhinal area, medial part, dorsal zone, layer 4",8
Claustrum,55
"Entorhinal area, medial part, dorsal zone, layer 2",52
"Entorhinal area, medial part, dorsal zone, layer 3",47
"Entorhinal area, medial part, dorsal zone, layer 1",58
Nucleus sagulum,7
"Paragigantocellular reticular nucleus, dorsal part",14
Area postrema,1
Lateral preoptic area,82
"Field CA3, stratum oriens",106
"Anterior cingulate area, dorsal part, layer 5",47
"Anterior cingulate area, dorsal part, layer 1",48
"Primary somatosensory area, upper limb, layer 6a",70
"Primary somatosensory area, upper limb, layer 6b",14
Medial septal nucleus,39
Medial preoptic nucleus,1
"Parabrachial nucleus, lateral division, external lateral part",6
"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, medial zone",2
"Primary auditory area, layer 2/3",48
"Orbital area, ventrolateral part, layer 5",20
"Anterior olfactory nucleus, dorsal part",16
"Uvula (IX), molecular layer",63
Subceruleus nucleus,4
Interposed nucleus,35
"Orbital area, lateral part, layer 1",17
Triangular nucleus of septum,13
"Ventral auditory area, layer 5",44
"Ventral auditory area, layer 4",16
"Lingula (I), molecular layer",3
"Ventral auditory area, layer 1",24
"Field CA3, stratum lacunosum-moleculare",7
"Anteromedial visual area, layer 1",24
"Lobule II, granular layer",44
Tegmental reticular nucleus,51
Lateral vestibular nucleus,38
Anterodorsal preoptic nucleus,3
"Agranular insular area, ventral part, layer 5",22
Cerebellum,468
Central medial nucleus of the thalamus,20
"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, lateral zone",3
"Spinal nucleus of the trigeminal, oral part, caudal dorsomedial part",4
"Agranular insular area, posterior part, layer 2/3",27
Dorsal tegmental nucleus,5
"Primary somatosensory area, upper limb, layer 1",38
"Orbital area, lateral part, layer 2/3",47
"Orbital area, medial part, layer 1",10
"Primary somatosensory area, upper limb, layer 5",87
"Primary somatosensory area, upper limb, layer 4",38
"Orbital area, medial part, layer 5",14
"Perirhinal area, layer 1",23
"Posterolateral visual area, layer 6a",5
"Paraflocculus, granular layer",159
"Perirhinal area, layer 5",32
Suprachiasmatic nucleus,6
"Paramedian lobule, molecular layer",126
Dorsal part of the lateral geniculate complex,50
Nucleus raphe magnus,7
Lateral terminal nucleus of the accessory optic tract,2
"Entorhinal area, lateral part, layer 2a",56
"Anterolateral visual area, layer 6a",22
"Ventromedial hypothalamic nucleus, ventrolateral part",16
"Anterolateral visual area, layer 6b",4
"Paraventricular hypothalamic nucleus, parvicellular division, periventricular part",2
"Nucleus of the solitary tract, commissural part",2
"Endopiriform nucleus, ventral part",34
"Gustatory areas, layer 2/3",37
Locus ceruleus,3
Supratrigeminal nucleus,15
Koelliker-Fuse subnucleus,10
"Perirhinal area, layer 6a",13
"Medial amygdalar nucleus, anterodorsal part",52
Substantia innominata,223
"posteromedial visual area, layer 6a",13
Sublaterodorsal nucleus,4
"Retrosplenial area, lateral agranular part, layer 6b",3
"Retrosplenial area, lateral agranular part, layer 6a",15
Medulla,445
Olfactory areas,94
Cuneiform nucleus,25
"Accessory olfactory bulb, glomerular layer",7
"Primary auditory area, layer 6a",24
"Primary auditory area, layer 6b",9
Rostral linear nucleus raphe,3
Ventral medial nucleus of the thalamus,41
Striatum-like amygdalar nuclei,26
"Ventromedial hypothalamic nucleus, central part",10
"Inferior colliculus, external nucleus",188
"Field CA2, stratum lacunosum-moleculare",7
Dorsal premammillary nucleus,9
"Presubiculum, layer 1",29
"Presubiculum, layer 2",36
"Presubiculum, layer 3",23
Posterior pretectal nucleus,6
Lateral posterior nucleus of the thalamus,55
"Nucleus of the lateral olfactory tract, layer 3",6
"Infralimbic area, layer 5",30
Principal sensory nucleus of the trigeminal,84
"Paraventricular hypothalamic nucleus, parvicellular division, anterior parvicellular part",9
"Posterior parietal association areas, layer 5",52
Parataenial nucleus,14
"Superior colliculus, motor related, deep white layer",9
"Periventricular hypothalamic nucleus, intermediate part",13
"Primary somatosensory area, trunk, layer 4",34
"Primary somatosensory area, trunk, layer 5",78
"Subiculum, dorsal part, molecular layer",13
Subthalamic nucleus,19
Olivary pretectal nucleus,6
Lateral hypothalamic area,227
"Orbital area, ventrolateral part, layer 6a",28
"Bed nuclei of the stria terminalis, anterior division, anteromedial area",23
"Taenia tecta, ventral part, layer 2",10
"Taenia tecta, ventral part, layer 3",7
"Taenia tecta, ventral part, layer 1",17
Medial habenula,12
Paracentral nucleus,14
Medial mammillary nucleus,19
"Primary somatosensory area, mouth, layer 1",23
"Superior central nucleus raphe, lateral part",17
Intercalated amygdalar nucleus,14
"Primary somatosensory area, mouth, layer 5",58
"Primary somatosensory area, mouth, layer 4",22
"Visceral area, layer 1",17
"Central amygdalar nucleus, lateral part",13
"Declive (VI), molecular layer",86
"Visceral area, layer 5",29
"Visceral area, layer 4",10
"Primary somatosensory area, nose, layer 4",6
"Primary somatosensory area, nose, layer 5",13
"Anterior cingulate area, ventral part, layer 1",48
"Primary somatosensory area, nose, layer 1",5
"Lobule II, molecular layer",47
"Primary somatosensory area, lower limb, layer 2/3",55
Parasolitary nucleus,1
"Basolateral amygdalar nucleus, ventral part",20
"Anteromedial visual area, layer 2/3",33
